,model_pred_Di_mode,model_pred_Di,price,reversal_rate,count,mean_pred_reversal_rate,mode_pred_reversal_rate,date_ranges,group_name,log_count
0,0.15605218806112628,,0.29989999771118164,,0.0,0,0,Date Range: 2023-04-01 to 2023-04-01<br> Count: 0<br> Loyalty Dist: L0:0 L1:0 <br> Prior Gpi Fills Dist: G0:0 G1:0 G2:0 G3:0 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:0 Walmart:0 Kroger:0 <br> Pricing Client Dist: SC:0 LUSC:0 FW:0 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:0 N1:0 <br> New Price For Pharma Dist: P0:0 P1:0 ,Urr Data,0.0
1,0.1725619757628905,,0.899699993133545,,0.0,0,0,Date Range: 2023-04-01 to 2023-04-01<br> Count: 0<br> Loyalty Dist: L0:0 L1:0 <br> Prior Gpi Fills Dist: G0:0 G1:0 G2:0 G3:0 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:0 Walmart:0 Kroger:0 <br> Pricing Client Dist: SC:0 LUSC:0 FW:0 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:0 N1:0 <br> New Price For Pharma Dist: P0:0 P1:0 ,Urr Data,0.0
2,0.19042433025597963,,1.4994999885559084,,0.0,0,0,Date Range: 2023-04-01 to 2023-04-01<br> Count: 0<br> Loyalty Dist: L0:0 L1:0 <br> Prior Gpi Fills Dist: G0:0 G1:0 G2:0 G3:0 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:0 Walmart:0 Kroger:0 <br> Pricing Client Dist: SC:0 LUSC:0 FW:0 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:0 N1:0 <br> New Price For Pharma Dist: P0:0 P1:0 ,Urr Data,0.0
3,0.20966714612666404,,2.0992999839782716,,0.0,0,0,Date Range: 2023-04-01 to 2023-04-01<br> Count: 0<br> Loyalty Dist: L0:0 L1:0 <br> Prior Gpi Fills Dist: G0:0 G1:0 G2:0 G3:0 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:0 Walmart:0 Kroger:0 <br> Pricing Client Dist: SC:0 LUSC:0 FW:0 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:0 N1:0 <br> New Price For Pharma Dist: P0:0 P1:0 ,Urr Data,0.0
4,0.2303013288592858,0.22364589165539786,2.6990999794006347,0.1590909090909091,44.0,0,0,Date Range: 2023-04-01 to 2023-04-30<br> Count: 44<br> Loyalty Dist: L0:1.0 <br> Prior Gpi Fills Dist: G0:0.25 G1:0.2 G2:0.18 G3:0.36 <br> Pharmacy Dist: Walgreens:1.0 <br> Pricing Client Dist: SC:0.3 FW:0.7 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,28.64663742839224
5,0.252317894883015,,3.298899974822998,,0.0,0,0,Date Range: 2023-04-23 to 2023-04-23<br> Count: 0<br> Loyalty Dist: L0:44 L1:0 <br> Prior Gpi Fills Dist: G0:11 G1:9 G2:8 G3:16 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:44 Walmart:0 Kroger:0 <br> Pricing Client Dist: SC:13 LUSC:0 FW:31 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:44 N1:0 <br> New Price For Pharma Dist: P0:44 P1:0 ,Urr Data,0.0
6,0.27568535294036284,0.23614377231385195,3.898699970245361,0.2962962962962963,27.0,0,0,Date Range: 2023-04-02 to 2023-04-28<br> Count: 27<br> Loyalty Dist: L0:0.93 L1:0.07 <br> Prior Gpi Fills Dist: G0:0.3 G1:0.2 G2:0.15 G3:0.35 <br> Pharmacy Dist: Walgreens:0.62 Walmart:0.38 <br> Pricing Client Dist: SC:0.49 LUSC:0.07 FW:0.44 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,25.325431571226428
7,0.30034757414147467,,4.498499965667724,,0.0,0,0,Date Range: 2023-04-10 to 2023-04-10<br> Count: 0<br> Loyalty Dist: L0:66 L1:5 <br> Prior Gpi Fills Dist: G0:21 G1:14 G2:11 G3:25 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:44 Walmart:27 Kroger:0 <br> Pricing Client Dist: SC:35 LUSC:5 FW:31 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:71 N1:0 <br> New Price For Pharma Dist: P0:71 P1:0 ,Urr Data,0.0
8,0.32622236633164375,,5.098299961090088,,0.0,0,0,Date Range: 2023-04-10 to 2023-04-10<br> Count: 0<br> Loyalty Dist: L0:66 L1:5 <br> Prior Gpi Fills Dist: G0:21 G1:14 G2:11 G3:25 <br> Pharmacy Dist: CVS:0 Rite Aid:0 Walgreens:44 Walmart:27 Kroger:0 <br> Pricing Client Dist: SC:35 LUSC:5 FW:31 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:71 N1:0 <br> New Price For Pharma Dist: P0:71 P1:0 ,Urr Data,0.0
9,0.3532009567065137,0.18562705513061686,5.698099956512451,0.0,1.0,0,0,Date Range: 2023-04-10 to 2023-04-10<br> Count: 1<br> Loyalty Dist: L0:0.92 L1:0.08 <br> Prior Gpi Fills Dist: G0:0.29 G1:0.19 G2:0.15 G3:0.36 <br> Pharmacy Dist: CVS:0.01 Walgreens:0.61 Walmart:0.38 <br> Pricing Client Dist: SC:0.5 LUSC:0.07 FW:0.43 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,6.852030263919617
10,0.38114855130443,0.20191558640225338,6.297899951934815,0.0,1.0,0,0,Date Range: 2023-04-25 to 2023-04-25<br> Count: 1<br> Loyalty Dist: L0:0.92 L1:0.08 <br> Prior Gpi Fills Dist: G0:0.29 G1:0.21 G2:0.15 G3:0.36 <br> Pharmacy Dist: CVS:0.03 Walgreens:0.6 Walmart:0.37 <br> Pricing Client Dist: SC:0.51 LUSC:0.07 FW:0.42 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,6.852030263919617
11,0.40990608019938907,,6.897699947357177,,0.0,0,0,Date Range: 2023-04-12 to 2023-04-12<br> Count: 0<br> Loyalty Dist: L0:67 L1:6 <br> Prior Gpi Fills Dist: G0:21 G1:15 G2:11 G3:26 <br> Pharmacy Dist: CVS:2 Rite Aid:0 Walgreens:44 Walmart:27 Kroger:0 <br> Pricing Client Dist: SC:37 LUSC:5 FW:31 CVS-PORTAL:0 HD:0 GAP:0 <br> New Price Dist: N0:73 N1:0 <br> New Price For Pharma Dist: P0:73 P1:0 ,Urr Data,0.0
12,0.43929315573711236,0.47164013469294724,7.497499942779541,0.13333333333333333,15.0,0,0,Date Range: 2023-04-03 to 2023-04-26<br> Count: 15<br> Loyalty Dist: L0:0.92 L1:0.08 <br> Prior Gpi Fills Dist: G0:0.31 G1:0.19 G2:0.12 G3:0.38 <br> Pharmacy Dist: CVS:0.02 Walgreens:0.5 Walmart:0.31 Kroger:0.17 <br> Pricing Client Dist: SC:0.59 LUSC:0.06 FW:0.35 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,21.408121055678468
13,0.4691121749134863,0.31130295549789866,8.097299938201903,0.3333333333333333,12.0,0,0,Date Range: 2023-04-04 to 2023-04-28<br> Count: 12<br> Loyalty Dist: L0:0.93 L1:0.07 <br> Prior Gpi Fills Dist: G0:0.36 G1:0.19 G2:0.11 G3:0.34 <br> Pharmacy Dist: CVS:0.11 Walgreens:0.47 Walmart:0.27 Kroger:0.15 <br> Pricing Client Dist: SC:0.61 LUSC:0.05 FW:0.31 GAP:0.03 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,19.954645502230758
14,0.49915339651679413,,8.69709993362427,,0.0,0,0,Date Range: 2023-04-12 to 2023-04-12<br> Count: 0<br> Loyalty Dist: L0:93 L1:7 <br> Prior Gpi Fills Dist: G0:36 G1:19 G2:11 G3:34 <br> Pharmacy Dist: CVS:11 Rite Aid:0 Walgreens:47 Walmart:27 Kroger:15 <br> Pricing Client Dist: SC:61 LUSC:5 FW:31 CVS-PORTAL:0 HD:0 GAP:3 <br> New Price Dist: N0:100 N1:0 <br> New Price For Pharma Dist: P0:100 P1:0 ,Urr Data,0.0
15,0.5292007316893176,0.23598083652227253,9.296899929046631,0.0,1.0,0,0,Date Range: 2023-04-12 to 2023-04-12<br> Count: 1<br> Loyalty Dist: L0:0.93 L1:0.07 <br> Prior Gpi Fills Dist: G0:0.37 G1:0.19 G2:0.11 G3:0.34 <br> Pharmacy Dist: CVS:0.11 Rite Aid:0.01 Walgreens:0.47 Walmart:0.27 Kroger:0.15 <br> Pricing Client Dist: SC:0.61 LUSC:0.05 FW:0.31 GAP:0.03 <br> New Price Dist: N0:1.0 <br> New Price For Pharma Dist: P0:1.0 ,Urr Data,6.852030263919617
16,0.5590379159339927,,9.896699924468997,,0.0,0,0,Date Range: 2023-04-19 to 2023-04-19<br> Count: 0<br> Loyalty Dist: L0:94 L1:7 <br> Prior Gpi Fills Dist: G0:37 G1:19 G2:11 G3:34 <br> Pharmacy Dist: CVS:11 Rite Aid:1 Walgreens:47 Walmart:27 Kroger:15 <br> Pricing Client Dist: SC:62 LUSC:5 FW:31 CVS-PORTAL:0 HD:0 GAP:3 <br> New Price Dist: N0:101 N1:0 <br> New Price For Pharma Dist: P0:101 P1:0 ,Urr Data,0.0
